año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,1.0,0.0,6.0,4.0,1.0,0.0,47
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,1.0,2.0,3.0,4.0,1.0,82707.25,48
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,2.0,2.0,1.0,3.0,2.0,727054.49,49
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,2.0,2.0,1.0,4.0,1.0,496067.28,50
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,2.0,2.0,4.0,4.0,1.0,318760.96,51
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,2.0,2.0,5.0,4.0,2.0,2394737.22,52
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,2,2.0,2.0,6.0,4.0,1.0,1257125.91,53
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,1.0,2.0,3.0,3.0,1566760.23,54
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,1.0,3.0,3.0,1.0,642411.74,55
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,1.0,4.0,3.0,3.0,2292736.24,56
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,1.0,5.0,3.0,2.0,1984893.47,57
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,1.0,3.0,1.0,331019.57,58
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,3.0,3.0,2.0,1574088.17,59
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,4.0,3.0,2.0,1601684.66,60
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,5.0,3.0,1.0,943473.42,61
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,1.0,2.0,6.0,4.0,4.0,7055932.52,62
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,1.0,1.0,3.0,1.0,499306.89,63
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,1.0,3.0,3.0,1.0,611124.17,64
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,1.0,4.0,3.0,1.0,904318.77,65
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,1.0,6.0,3.0,1.0,944030.91,66
